DataID,DataName,ReferenceID,OrigValueStr,growth_form,n
47,Plant growth form,18,tree,tree,13426
47,Plant growth form,18,grass,graminoid,8969
47,Plant growth form,40,Tree,tree,5748
47,Plant growth form,18,shrub,shrub,5323
47,Plant growth form,30,herb,herb,5281
47,Plant growth form,126,mesoxerophyte,n/a,5203
47,Plant growth form,18,herb,herb,4094
47,Plant growth form,65,TREE,tree,3965
47,Plant growth form,143,forb,forb,3923
411,Shoot growth form,21,Stem erect,woody,3867
47,Plant growth form,18,Tree,tree,3769
47,Plant growth form,8,Tree,tree,3364
870,Plant growth form: Succulence,138,non-succulent,n/a,3091
47,Plant growth form,30,shrub,shrub,2530
47,Plant growth form,78,tree,tree,2468
47,Plant growth form,126,xerophyte,n/a,2444
47,Plant growth form,38,Tree,tree,2390
1297,Growth Form,68,woody,woody,2076
47,Plant growth form,38,Shrub,shrub,2065
1741,Plant growth form 2,68,woody,woody,2059
47,Plant growth form,18,Forbs,forb,2018
1303,Low Growing Grass,49,No,n/a,2013
47,Plant growth form,126,mesophyte,n/a,1960
47,Plant growth form,74,tree,tree,1926
47,Plant growth form,8,Herbaceous Monocot,herb,1881
47,Plant growth form,53,T,tree,1809
47,Plant growth form,63,Climber,liana_climber,1783
47,Plant growth form,196,b H,hemicryptophyte,1765
47,Plant growth form,101,climber,liana_climber,1765
47,Plant growth form,126,xeromesophyte,n/a,1753
47,Plant growth form,65,SHRUB/TREE,tree,1684
2391,Life form: small tree,148,no,n/a,1577
2401,Life form: fern/fern ally,148,no,n/a,1575
2400,Life form: succulent,148,no,n/a,1573
2394,Life form: prostrate dwarf shrub,148,no,n/a,1572
2402,Life form: epiphyte/parasite,148,no,n/a,1564
2396,Life form: climber,148,no,n/a,1555
47,Plant growth form,40,Shrub,shrub,1542
2398,Life form: geophyte,148,no,n/a,1531
47,Plant growth form,30,tree,tree,1501
2395,Life form: liana,148,no,n/a,1485
2404,Plant form: vase,148,no,n/a,1477
2393,Life form: erect dwarf shrub,148,no,n/a,1474
2408,Plant form: caespitose,148,no,n/a,1473
2405,Plant form: open,148,no,n/a,1473
2409,Plant form: tangled,148,no,n/a,1469
2407,Plant form: cushion,148,no,n/a,1461
2411,Plant form: prostrate,148,no,n/a,1457
2399,Life form: graminoid,148,no,n/a,1417
47,Plant growth form,68,tree,tree,1372
2410,Plant form: climbing,148,no,n/a,1360
1304,Shape and Orientation,49,Erect,n/a,1358
47,Plant growth form,126,succulent,succulent,1310
2403,Plant form: Non-distinctive,148,yes,n/a,1273
2390,Life form: tree,148,no,n/a,1272
2392,Life form: shrub,148,no,n/a,1269
47,Plant growth form,43,tree,tree,1194
