DataID,DataName,ReferenceID,OrigValueStr,ps_pathway,n
25,Photosynthetic pathway,18,C3,C3,16499
25,Photosynthetic pathway,78,C3,C3,4222
25,Photosynthetic pathway,18,C4,C4,3186
25,Photosynthetic pathway,99,C3,C3,2321
25,Photosynthetic pathway,72,C3,C3,1432
25,Photosynthetic pathway,62,C3,C3,999
25,Photosynthetic pathway,130,C3?,C3,548
25,Photosynthetic pathway,177,C3,C3,407
25,Photosynthetic pathway,26,C3,C3,402
25,Photosynthetic pathway,18,CAM,CAM,364
25,Photosynthetic pathway,130,C3,C3,276
25,Photosynthetic pathway,40,C3,C3,260
25,Photosynthetic pathway,78,C4,C4,247
25,Photosynthetic pathway,53,C3,C3,243
25,Photosynthetic pathway,25,C3,C3,184
25,Photosynthetic pathway,7,C4,C4,152
25,Photosynthetic pathway,7,C3,C3,141
25,Photosynthetic pathway,130,C4,C4,141
25,Photosynthetic pathway,112,C3,C3,130
25,Photosynthetic pathway,79,C3,C3,109
25,Photosynthetic pathway,152,C3,C3,94
25,Photosynthetic pathway,152,C4,C4,84
25,Photosynthetic pathway,130,C4?,C4,82
25,Photosynthetic pathway,2,C3,C3,72
25,Photosynthetic pathway,18,C4?,C4,52
25,Photosynthetic pathway,62,C4,C4,33
25,Photosynthetic pathway,73,3,C3,31
25,Photosynthetic pathway,97,C3,C3,29
25,Photosynthetic pathway,72,C4,C4,23
25,Photosynthetic pathway,99,CAM,CAM,19
25,Photosynthetic pathway,112,C4,C4,18
25,Photosynthetic pathway,111,C3,C3,14
25,Photosynthetic pathway,53,C4,C4,12
25,Photosynthetic pathway,130,CAM,CAM,12
25,Photosynthetic pathway,205,Y,C4,12
25,Photosynthetic pathway,80,C3,C3,10
25,Photosynthetic pathway,81,C3,C3,10
25,Photosynthetic pathway,99,C4,C4,10
25,Photosynthetic pathway,62,CAM,CAM,7
25,Photosynthetic pathway,97,C4,C4,7
25,Photosynthetic pathway,26,C4,C4,4
25,Photosynthetic pathway,112,CAM,CAM,4
25,Photosynthetic pathway,40,C4,C4,3
25,Photosynthetic pathway,40,CAM,CAM,3
25,Photosynthetic pathway,51,C3,C3,3
25,Photosynthetic pathway,25,CAM,CAM,2
25,Photosynthetic pathway,62,??,n/a,2
25,Photosynthetic pathway,2,CAM,CAM,1
25,Photosynthetic pathway,18,c3,C3,1
25,Photosynthetic pathway,18,C3?,C3,1
25,Photosynthetic pathway,18,C3/C4,C4,1
25,Photosynthetic pathway,62,?,n/a,1
25,Photosynthetic pathway,99,c3,C3,1
25,Photosynthetic pathway,130,C3.,C3,1
25,Photosynthetic pathway,152,C3/C4,C4,1
